ActualVal.Qtr	ActualVal.Reviews	LogActualVal	ForecastVal	Error	SS	StandardizedErr
3Q09	1140	7.03878354138854	6.79808938161193	-0.240694159776613	0.0579336785505696	-0.000995041994641467
4Q09	910	6.8134445995109	6.85800909430133	0.0445644947904364	0.00198599419592684	0.000184231905866018
1Q10	852	6.74758652682932	7.0718375796768	0.324251052847486	0.105138745272703	0.0013404704737722
2Q10	1032	6.93925394604151	6.93794880730919	-0.0013051387323193	1.70338711060003e-06	-5.39551042159111e-06
3Q10	1181	7.07411681619736	6.99382274916355	-0.0802940670338108	0.0064471372008301	-0.000331939789039127
4Q10	1330	7.1929342212158	6.85981515760812	-0.333119063607684	0.11096831053886	-0.00137713128483434
1Q11	1405	7.24779258176785	7.33676958161543	0.0889769998475822	0.00791690650187665	0.000367835478383528
2Q11	1390	7.23705902612474	7.47650153189582	0.239442505771084	0.0573327135699356	0.000989867592822086
3Q11	1215	7.10249935577465	7.3544263942081	0.251927038433451	0.0634672326938497	0.00104147929081284
4Q11	1069	6.97447891102505	6.98390011768308	0.00942120665803703	8.87591348934412e-05	3.8947751260949e-05
1Q12	973	6.880384082186	7.08192735651143	0.201543274325426	0.0406196914258137	0.000833190227288721
2Q12	1142	7.04053639021596	7.07165095142399	0.0311145612080326	0.000968115919168406	0.000128629190984812
3Q12	1133	7.03262426102801	7.09852937187925	0.0659051108512463	0.00434348363631506	0.000272455106594003
4Q12	1034	6.94119005506837	6.91544010982403	-0.0257499452443417	0.000663059680086596	-0.000106451593597527
1Q13	919	6.82328612235569	6.99638977577898	0.173103653423296	0.0299648748284926	0.000715619376647534
