QTR	ActualVal	Forecast	ForecastActual	Error	ErrorPercent	SS	AbsoluteErr	StandardizedErr
3Q10	1181	7.07396869649398	1180.82508358491	-0.174916415094458	-0.000148108734203605	2.19361971473942e-08	0.000148108734203605	-0.000716937648428879
4Q10	1330	6.91916926493402	1011.47937403228	-318.520625967725	-0.239489192456936	0.0573550952398724	0.239637301191139	-1.27696631239385
1Q11	1405	7.0550527745293	1158.69861944023	-246.301380559774	-0.175303473708024	0.0880864031339723	0.414940774899163	-0.9132871881232
2Q11	1390	7.30633749130785	1489.71110563915	99.7111056391495	0.0717346083734889	0.0932322571724701	0.486675383272652	0.344191293043891
3Q11	1215	7.36717334649147	1583.15242904268	368.152429042681	0.303006114438421	0.185044962559539	0.789681497711073	1.23212084920109
4Q11	1069	7.14668450668676	1269.88866046813	200.888660468134	0.187922039726973	0.220359655574685	0.977603537438046	0.690979461519175
1Q12	973	7.3988066657221	1634.0333180934	661.033318093399	0.679376483138129	0.681912061415818	1.65698002057617	2.36578331069718
2Q12	1142	7.07620124454924	1183.46427729606	41.4642772960617	0.0363084739895462	0.683230366699267	1.69328849456572	0.153639054018148
3Q12	1133	7.0898194385419	1199.69116306756	66.6911630675559	0.0588624563703053	0.686695155469213	1.75215095093603	0.254563862030063
4Q12	1034	6.89927785828595	991.558411308828	-42.4415886911718	-0.0410460238792764	0.688379931545512	1.7931969748153	-0.166739778201766
1Q13	919	7.08914449937594	1198.88171770846	279.881717708463	0.304550291304095	0.781130811478921	2.0977472661194	1.13325652216282
2Q13	1073	7.03180167696767	1132.06839547369	59.0683954736885	0.0550497627900172	0.784161287862158	2.15279702890941	0.244191774769107
