PROD,"('2012-08-30', 'AVGPRICE')","('2012-10-10', 'AVGPRICE')","('2012-11-01', 'AVGPRICE')","('2012-11-30', 'AVGPRICE')","('2013-01-01', 'AVGPRICE')","('2013-02-01', 'AVGPRICE')","('2013-03-01', 'AVGPRICE')","('2013-04-01', 'AVGPRICE')","('2013-05-01', 'AVGPRICE')","('2013-06-01', 'AVGPRICE')","('2013-07-01', 'AVGPRICE')","('2013-08-01', 'AVGPRICE')"
P136308,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
P136315,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P136316,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P136318,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P136321,15.5,15.5,15.5,15.5,15.5,15.75,15.75,15.75,17.25,17.25,,
P136329,,,,,15.0,,,,15.0,,15.0,
P136701,17.0,17.0,17.0,17.0,17.0,17.25,17.25,17.25,17.25,17.25,,
P137115,,,,,,,,,,8.0,,
P137906,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
P137914,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P137915,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P139000,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
P139400,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P139803,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
P141908,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P141909,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P146210,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
P148007,16.0,,,,,,,16.0,,16.0,,
P148020,17.0,17.0,,,,,,,,,,
P148021,13.0,13.0,13.0,,,,,,,,,
P150719,,,,,3.0,,,,,,,
P150742,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,,
P150751,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P152203,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P153000,,16.0,16.0,,,,,,,,,
P154619,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P156213,,19.0,19.0,19.0,19.0,,,,,,,
P156402,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P157200,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P157910,19.5,19.5,19.5,,,,,,,,,
P158509,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P160512,,,,,,,,,16.0,16.0,16.0,16.0
P163911,7.0,,,,,,,,,,,
P164932,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
P167712,4.5,4.5,8.0,8.0,10.0,10.0,10.0,10.0,10.0,5.5,10.0,6.5
P169113,8.0,8.0,8.0,8.0,8.0,,,,,,,
P169813,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,
P170102,12.0,12.0,,,12.0,12.0,,,,12.0,,
P170103,8.0,8.0,8.0,,8.0,8.0,,,,8.0,,
P171101,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P173640,18.0,18.0,18.0,18.0,18.0,18.5,18.5,18.5,18.5,18.5,18.5,18.5
P173647,18.0,18.0,18.0,18.0,18.0,18.5,18.5,18.5,18.5,18.5,18.5,18.5
P173681,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
P173690,,,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75
P173697,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P173726,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
P174213,18.5,18.5,14.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P175101,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P175201,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P178007,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,8.0
P178408,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
P178410,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P179924,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P179926,19.0,19.0,19.0,,,,,,,,,
P179927,12.0,12.0,12.0,12.0,12.0,,,,,,,
P181805,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,
P181807,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,
P182406,,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P183727,,,15.0,,,,,,,15.0,,
P183728,18.0,18.0,,,,,,18.0,,18.0,,
P183733,17.75,17.75,17.75,17.75,,,,,,,,
P183919,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.5,18.5,18.5,19.0
P184619,15.0,15.0,15.0,,,,,,,,,
P187409,12.0,12.0,12.0,,12.0,,,,12.0,12.0,,
P188206,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
P188207,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
P188208,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,
P188209,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,
P188210,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,
P188211,,,,13.0,,,,,,,,
P188212,,,,,,,,,,16.0,,
P188213,,,,,15.0,,,,,15.0,,
P188214,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,
P188216,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,
P188227,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,
P188306,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P188307,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P188309,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
